,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"RT @abtassociates: Abt maternal &amp; child health expert Sarah Ballâ€™s career shifted towards #flu research during the 2009 flu pandemic.Learâ€_",FALSE,0,NA,2/22/19 23:34,FALSE,NA,1.09909E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AbtKathleen,3,TRUE,FALSE,NA,NA
2,"RT @abtassociates: Abt maternal &amp; child health expert Sarah Ballâ€™s career shifted towards #flu research during the 2009 flu pandemic.Learâ€_",FALSE,0,NA,2/22/19 23:30,FALSE,NA,1.09909E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ebaruwa,3,TRUE,FALSE,NA,NA
3,"RT @famfightflu: When your body is busy fighting a virus like #flu, it makes you more vulnerable to secondary infections. Often it is the câ€_",FALSE,0,NA,2/22/19 23:22,FALSE,NA,1.09909E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MahoneBayMyers,2,TRUE,FALSE,NA,NA
4,RT @famfightflu: Madi was a healthy 12-year-old athlete before she spent 93 days in the hospital due to #flu. It's been 8 years and she stiâ€_,FALSE,0,NA,2/22/19 23:10,FALSE,NA,1.09908E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrendaEarles,4,TRUE,FALSE,NA,NA
5,This #video can help you stay well during #cold &amp; #flu season: https://t.co/fEPXItIF5w,FALSE,0,NA,2/22/19 23:04,FALSE,NA,1.09908E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",OscilloUSA,0,FALSE,FALSE,NA,NA
6,A lack of antibody diversity may make the elderly more susceptible to #flu. https://t.co/gcKi5b8hag,FALSE,1,NA,2/22/19 23:00,FALSE,NA,1.09908E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",famfightflu,0,FALSE,FALSE,NA,NA
7,Watching the #Flu spread across the US in real-time may serve as #FluShot reminder? https://t.co/6KNZq7swqa,FALSE,0,NA,2/22/19 22:59,FALSE,NA,1.09908E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",michvictor,0,FALSE,FALSE,NA,NA
8,"RT @famfightflu: When your body is busy fighting a virus like #flu, it makes you more vulnerable to secondary infections. Often it is the câ€_",FALSE,0,NA,2/22/19 22:48,FALSE,NA,1.09908E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jillpromoli,2,TRUE,FALSE,NA,NA
9,#DYK: #Flu can be deadly for people with heart disease? They are up to 10X more likely to have a #HeartAttack withiâ€_ https://t.co/AO89IRA4AF,FALSE,0,NA,2/22/19 22:45,TRUE,NA,1.09908E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NFIDvaccines,0,FALSE,FALSE,NA,NA
10,"RT @InfectDisNews: _Ÿ‘‡Our latest cover story explores whether US hospitals are prepared for a severe #flu season. ""If the flu season were mucâ€_",FALSE,0,NA,2/22/19 22:23,FALSE,NA,1.09907E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",GoHealio,2,TRUE,FALSE,NA,NA
11,"_Ÿ‘‡Our latest cover story explores whether US hospitals are prepared for a severe #flu season. ""If the flu season werâ€_ https://t.co/bFT9CpiEwp",FALSE,2,NA,2/22/19 22:21,TRUE,NA,1.09907E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",InfectDisNews,2,FALSE,FALSE,NA,NA
12,Did you catch the #flu? Here are some #tea recipes to help you cure your cold https://t.co/w2mCtQQX6X,FALSE,0,NA,2/22/19 22:01,FALSE,NA,1.09907E+18,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",HerCampusFandM,0,FALSE,FALSE,NA,NA
