"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Of course I’d be sick the weekend of a buck of hockey reffing.... #flu",FALSE,0,NA,2019-02-23 23:05:53,FALSE,NA,"1099445267588399105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ANadeau8",0,FALSE,FALSE,NA,NA
"2","Found the energy to get my #flu ravaged self outside to enjoy the #gloaming. #getoutside #hudsonvalleyoutside… https://t.co/baGsyBPcn1",FALSE,0,NA,2019-02-23 22:54:05,TRUE,NA,"1099442297605947393",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PeakMag1",0,FALSE,FALSE,"-74.08222222","41.84388889"
"3","RT @PAHealthDept: DYK? The #flu virus can live on some surfaces for up to 24 HOURS. Avoid spreading flu germs by regularly clean surfaces,…",FALSE,0,NA,2019-02-23 22:39:15,FALSE,NA,"1099438564939579393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrepBethlehem",4,TRUE,FALSE,NA,NA
"4","As an Added Flu Prevention, We Recommend Installing a SANITAIRE Ultraviolet Room Air Sanitizer… https://t.co/CIyBi8S7qs",FALSE,0,NA,2019-02-23 21:51:02,TRUE,NA,"1099426430952398852",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","AtlanticUVCorp",0,FALSE,FALSE,NA,NA
"5","RT @SterileSpace: How to Wipe Out #Flu #Germs in Your Home and Office. https://t.co/vEc1q7ZDYX",FALSE,0,NA,2019-02-23 21:44:01,FALSE,NA,"1099424665095864321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OfficePro5",1,TRUE,FALSE,NA,NA
"6","We’re delivering rapid data collection to @CDCgov to #FightFlu.

Implementing web panel surveys during #fluseason c… https://t.co/U99UhW20YX",FALSE,2,NA,2019-02-23 21:26:02,TRUE,NA,"1099420139055955969",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","abtassociates",0,FALSE,FALSE,NA,NA
"7","According to the Centers for Disease Control and Prevention, about one-third of the world’s population of 1919 was… https://t.co/9SZfWLfnJ7",FALSE,0,NA,2019-02-23 19:25:03,TRUE,NA,"1099389693211410432",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","IcahnMountSinai",0,FALSE,FALSE,NA,NA
"8","RT @PAHealthDept: Help stop germs and the #flu by practicing good health habits ⤵️
💉 get a flu vaccine
🏠 stay home when sick
🚫 don't touch…",FALSE,0,NA,2019-02-23 18:53:16,FALSE,NA,"1099381697802424320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theyarecoping",26,TRUE,FALSE,NA,NA
"9","Need some tips on how to keep #flu free this winter? https://t.co/8Ba5vJV60z",FALSE,0,NA,2019-02-23 18:26:00,FALSE,NA,"1099374835476647942",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironUSA",0,FALSE,FALSE,NA,NA
"10","RT @HelenBranswell: ICYMI: 7 more children have died from #flu in the U.S. this winter. That marks 41 known pediatric flu deaths this year…",FALSE,0,NA,2019-02-23 17:24:18,FALSE,NA,"1099359305889808386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hawkriver",8,TRUE,FALSE,NA,NA
