"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 18:04:51,FALSE,NA,"1099369511910891527",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","keep_simp",13,TRUE,FALSE,NA,NA
"2","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 17:48:13,FALSE,NA,"1099365325043310592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Belle_Vivant",13,TRUE,FALSE,NA,NA
"3","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 17:42:40,FALSE,NA,"1099363929376010241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wallace_Noll",13,TRUE,FALSE,NA,NA
"4","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 17:35:27,FALSE,NA,"1099362114009845760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DrKND",13,TRUE,FALSE,NA,NA
"5","RT @ConsumerBobNBC: The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold #healthy @s…",FALSE,0,NA,2019-02-23 16:38:28,FALSE,NA,"1099347770693976064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SaludHEALTHinfo",6,TRUE,FALSE,NA,NA
"6","Get your #flu shot. It’s not too late. https://t.co/b91WMxMbIk",FALSE,1,NA,2019-02-23 16:25:45,FALSE,NA,"1099344572096757760",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SuboxoneDrOC",0,FALSE,FALSE,NA,NA
"7","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 15:30:54,FALSE,NA,"1099330767946174464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","svagdis",13,TRUE,FALSE,NA,NA
"8","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 15:15:27,FALSE,NA,"1099326882133229568",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SNCCLA",13,TRUE,FALSE,NA,NA
"9","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 15:13:02,FALSE,NA,"1099326274521178113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MsBubbetta",13,TRUE,FALSE,NA,NA
"10","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 15:11:09,FALSE,NA,"1099325797100384256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patriot7842",13,TRUE,FALSE,NA,NA
"11","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-23 15:01:20,FALSE,NA,"1099323326621761538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","and_kell",13,TRUE,FALSE,NA,NA
"12","RT @ConsumerBobNBC: The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold #healthy @s…",FALSE,0,NA,2019-02-23 03:38:40,FALSE,NA,"1099151529896902656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christi46119463",6,TRUE,FALSE,NA,NA
"13","RT @ConsumerBobNBC: The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold #healthy @s…",FALSE,0,NA,2019-02-23 03:02:05,FALSE,NA,"1099142323722547200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sd_nbc7_T20",6,TRUE,FALSE,NA,NA
"14","RT @ConsumerBobNBC: The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold #healthy @s…",FALSE,0,NA,2019-02-23 00:03:20,FALSE,NA,"1099097339958939648",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nbcsandiego",6,TRUE,FALSE,NA,NA
"15","RT @ConsumerBobNBC: The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold #healthy @s…",FALSE,0,NA,2019-02-22 23:59:48,FALSE,NA,"1099096448384159744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sharphealthcare",6,TRUE,FALSE,NA,NA
"16","The flu season ain't over yet. What you need to do to keep the bugs away.  Watch #NBC7 at 4:45pm
#flu #cold… https://t.co/aD05I7OY97",FALSE,12,NA,2019-02-22 23:58:32,TRUE,NA,"1099096131575767040",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ConsumerBobNBC",6,FALSE,FALSE,NA,NA
"17","Since #TeamSISD team members are power #Twitter users &amp; it's the middle of #flu season, here is some important, pra… https://t.co/bWfCeq7UJj",FALSE,5,NA,2019-02-22 23:13:49,TRUE,NA,"1099084877549449218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OLeza_CI",2,FALSE,FALSE,NA,NA
"18","Can someone please spoil me and make me tumeric/ginger/lemon/honey tea? Tuck me in my bed with my teddy bear and wa… https://t.co/UF4XGvcrr4",FALSE,2,NA,2019-02-22 22:14:58,TRUE,NA,"1099070066119794688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diosanojoda",1,FALSE,FALSE,NA,NA
"19","RT @KPSouthBay: Proud to have vaccinated more than 94% of our staff this #flu season! #FluFighters #VaccinesSaveLives https://t.co/94Ols6sI…",FALSE,0,NA,2019-02-22 22:14:32,FALSE,NA,"1099069959106252800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CCSpagnola",1,TRUE,FALSE,NA,NA
"20","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-22 21:56:32,FALSE,NA,"1099065427211231232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BlueSkyGrannie",13,TRUE,FALSE,NA,NA
"21","RT @MayoClinic: Dr. Claire B. Haga, a family medicine physician, at #MayoClinicFL discusses #allergies vs. #flu symptoms with @wjxt4. https…",FALSE,0,NA,2019-02-22 20:55:33,FALSE,NA,"1099050081930616833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grandma_hockey",2,TRUE,FALSE,NA,NA
"22","RT @MayoClinic: Dr. Claire B. Haga, a family medicine physician, at #MayoClinicFL discusses #allergies vs. #flu symptoms with @wjxt4. https…",FALSE,0,NA,2019-02-22 20:40:36,FALSE,NA,"1099046319002406913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malqahtani2011",2,TRUE,FALSE,NA,NA
"23","Dr. Claire B. Haga, a family medicine physician, at #MayoClinicFL discusses #allergies vs. #flu symptoms with… https://t.co/I5yBCn4PeB",FALSE,10,NA,2019-02-22 20:15:28,TRUE,NA,"1099039995938119680",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","MayoClinic",2,FALSE,FALSE,NA,NA
"24","Proud to have vaccinated more than 94% of our staff this #flu season! #FluFighters #VaccinesSaveLives https://t.co/94Ols6sIts",FALSE,3,NA,2019-02-22 18:49:38,FALSE,NA,"1099018393787613184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KPSouthBay",1,FALSE,FALSE,NA,NA
"25","RT @picphysicians: Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemic?

h…",FALSE,0,NA,2019-02-22 17:54:21,FALSE,NA,"1099004480488656897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bloodymary12354",13,TRUE,FALSE,NA,NA
"26","Did you know that getting a flu shot annually may make children more vulnerable to severe outcomes during a pandemi… https://t.co/IS3HAzqFjd",FALSE,20,NA,2019-02-22 17:45:08,TRUE,NA,"1099002162733088768",NA,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","picphysicians",13,FALSE,FALSE,NA,NA
"27","#IV #NutritionTherapy can help fight off #Colds and #Flu viruses! Ask how! https://t.co/76nm6ycc8J https://t.co/KXsVP91olS",FALSE,0,NA,2019-02-22 17:05:19,FALSE,NA,"1098992141479673856",NA,"<a href=""https://spc.crystalcleardm.com/"" rel=""nofollow"">Crystal Clear DM SPC</a>","MiraAesthetic",0,FALSE,FALSE,NA,NA
"28","2019 has come to a grinding halt, as I’m nursing this damn flu. Heaven on earth turned into hell on earth. Hahahaha… https://t.co/Wa8Gux2Qqw",FALSE,0,NA,2019-02-22 15:10:27,TRUE,NA,"1098963234294362113",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Motandkrid",0,FALSE,FALSE,NA,NA
"29","11 Best Flu Remedies Backed by Scientific Studies https://t.co/ECx4AW2AMu #flu #remedy #remedies #science… https://t.co/EwRVQlarE2",FALSE,0,NA,2019-02-22 07:15:51,TRUE,NA,"1098843796551348225",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NerdNutrition",0,FALSE,FALSE,NA,NA
"30","Almost 500 people have been hospitalized with flu-like symptoms in Ohio. Health professionals say washing your hand… https://t.co/5gXCS3uNZI",FALSE,0,"ValleyViewNews",2019-02-22 06:47:24,TRUE,"1098835928141901824","1098836638485012481","2802270062","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"31","Sable Gibson was diagnosed with strep throat and influenza Tuesday morning. She went into cardiac arrest later that… https://t.co/FtqjXvJDER",FALSE,0,"ValleyViewNews",2019-02-22 06:44:35,TRUE,"1098835532103147522","1098835928141901824","2802270062","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"32","Ohio girl dies hours after she is diagnosed with strep throat and the flu. #Flu #StrepThroat Photo Source: Holly Ra… https://t.co/oqhsrErcAA",FALSE,0,NA,2019-02-22 06:43:00,TRUE,NA,"1098835532103147522",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"33","RT @mmw_lmw: Original Antigenic Sin | How First Exposure Shapes Lifelong Anti- #Influenza #Virus #Immune Responses #Flu | #REVIEW OAS findi…",FALSE,0,NA,2019-02-22 05:52:48,FALSE,NA,"1098822897508933632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rekhara39863936",10,TRUE,FALSE,NA,NA
"34","RT @hbrosenbaum: For advocating for the safety of our kids &amp; #publichealth for #Maricopa County &amp; #Arizona, thank you @DrAmishShah for oppo…",FALSE,0,NA,2019-02-22 03:57:36,FALSE,NA,"1098793905183612931",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clukepete",1,TRUE,FALSE,NA,NA
"35","RT @stephanieinnes: #HB2471 ""informed consent"" bill on #vaccines means people getting a #flu shot in #Arizona will get 54 pages of info to…",FALSE,0,NA,2019-02-22 03:05:51,FALSE,NA,"1098780883132211200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michaelmurphyaz",3,TRUE,FALSE,NA,NA
"36","RT @stephanieinnes: #HB2471 ""informed consent"" bill on #vaccines means people getting a #flu shot in #Arizona will get 54 pages of info to…",FALSE,0,NA,2019-02-21 22:31:25,FALSE,NA,"1098711819928121344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NormaAtTheStar",3,TRUE,FALSE,NA,NA
"37","RT Leafly ""😷 Flu Season Is Peaking. 😷 
Have you ever used #cannabis when battling #flu or #colds?
We rounded up the… https://t.co/kmcsY0a4XL",FALSE,0,NA,2019-02-21 22:25:33,TRUE,NA,"1098710342618804225",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Christians4CBD",0,FALSE,FALSE,NA,NA
