"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#LatestNews at https://t.co/mRLw4kzIxB : CDC records show a culprit for stomach-flu after 4,600 outbreaks: about 50… https://t.co/AHKSOgeKnH",FALSE,0,NA,2019-02-23 11:05:32,TRUE,NA,"1099263985139019777",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","OrganicErica",0,FALSE,FALSE,NA,NA
"2","#NEWS: How the #flu #vaccine is working this year: https://t.co/GZkEYsV60V",FALSE,1,NA,2019-02-23 03:00:29,FALSE,NA,"1099141921417637891",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","mOppenheimTV",0,FALSE,FALSE,NA,NA
"3","RT @kinsa: Our health map is tracking the #flu in real time. https://t.co/EPgsbOVsTg",FALSE,0,NA,2019-02-22 23:19:13,FALSE,NA,"1099086237086945280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michelleking66",3,TRUE,FALSE,NA,NA
"4","RT @kinsa: Our health map is tracking the #flu in real time. https://t.co/EPgsbOVsTg",FALSE,0,NA,2019-02-22 23:17:11,FALSE,NA,"1099085723431587845",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FastCompany",3,TRUE,FALSE,NA,NA
"5","Our health map is tracking the #flu in real time. https://t.co/EPgsbOVsTg",FALSE,7,NA,2019-02-22 22:17:53,FALSE,NA,"1099070801028870145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kinsa",3,FALSE,FALSE,NA,NA
"6","The latest on the 2019 flu season... it may be hitting its peak... https://t.co/DagcaW2NBm #flu #2019flu #flushots… https://t.co/jAMlQrTwuF",FALSE,0,NA,2019-02-22 22:13:35,TRUE,NA,"1099069717623361536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoomerBaby54",0,FALSE,FALSE,NA,NA
"7","Published on https://t.co/mRLw4kzIxB : Natural remedies for fighting cold and flu this winter and homemade turnip s… https://t.co/AaWQPv0Z1f",FALSE,0,NA,2019-02-22 19:05:48,TRUE,NA,"1099022460538753025",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","OrganicErica",0,FALSE,FALSE,NA,NA
"8","#NEWS: #Flu #vaccine protecting more individuals this year #health https://t.co/GZkEYsV60V",FALSE,0,NA,2019-02-22 15:01:09,FALSE,NA,"1098960891943550976",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","mOppenheimTV",0,FALSE,FALSE,NA,NA
"9","My brother, a #police officer and #EMT, finally left the hospital after getting the swine #flu, double #pneumonia,… https://t.co/QbS6uCLSZX",FALSE,1,NA,2019-02-22 13:21:08,TRUE,NA,"1098935725029031936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UsaTerminator",0,FALSE,FALSE,NA,NA
"10","Almost 500 people have been hospitalized with flu-like symptoms in Ohio. Health professionals say washing your hand… https://t.co/5gXCS3uNZI",FALSE,0,"ValleyViewNews",2019-02-22 06:47:24,TRUE,"1098835928141901824","1098836638485012481","2802270062","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"11","Sable Gibson was diagnosed with strep throat and influenza Tuesday morning. She went into cardiac arrest later that… https://t.co/FtqjXvJDER",FALSE,0,"ValleyViewNews",2019-02-22 06:44:35,TRUE,"1098835532103147522","1098835928141901824","2802270062","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"12","Ohio girl dies hours after she is diagnosed with strep throat and the flu. #Flu #StrepThroat Photo Source: Holly Ra… https://t.co/oqhsrErcAA",FALSE,0,NA,2019-02-22 06:43:00,TRUE,NA,"1098835532103147522",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValleyViewNews",0,FALSE,FALSE,NA,NA
"13","An old friend...I just started the #Keto diet. Whoop-de-do. I just started the #flu diet.",FALSE,0,NA,2019-02-22 05:41:42,FALSE,NA,"1098820105415254017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EJMiller707",0,FALSE,FALSE,NA,NA
"14","Why it's important to avoid getting the flu: https://t.co/Nbi1U8azyl #Flu #FluPrevention https://t.co/vCCwO12TV2",FALSE,0,NA,2019-02-22 02:34:05,FALSE,NA,"1098772887543209984",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GoldenGateUC",0,FALSE,FALSE,NA,NA
"15","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-21 20:42:16,FALSE,NA,"1098684350135099392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lee_ralph",6,TRUE,FALSE,NA,NA
"16","How to fight the flu in the office? Give workers paid sick days who don't have them... https://t.co/kNU0wGc7EB… https://t.co/xX53SePcms",FALSE,0,NA,2019-02-21 20:37:28,TRUE,NA,"1098683143182180352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoomerBaby54",0,FALSE,FALSE,NA,NA
"17","It's Time You Cleaned Your Nose 
https://t.co/r0bBDFMHeS
#Sinus #Health #Flu #Xylitol #Breathe #healthy #healthtips https://t.co/qY3uv9i77M",FALSE,0,NA,2019-02-21 18:02:12,FALSE,NA,"1098644067146231810",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","USHealthyLivinG",0,FALSE,FALSE,NA,NA
"18","Thx 4 share @WCColumbia! A common complication of cold or #flu is for it to turn into pneumonia -- a life-threateni… https://t.co/Xiv6NyYRM7",FALSE,1,NA,2019-02-21 18:02:00,TRUE,NA,"1098644018664222720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DailyCaring",0,FALSE,FALSE,NA,NA
"19","RT @sammyapproves: #AD Cold supplies that work? Yes please!! 
Get a great deal here&gt;&gt; https://t.co/xuI3pV5x5O  

#Flu #dealoftheday #dealso…",FALSE,0,NA,2019-02-21 17:44:13,FALSE,NA,"1098639544554061824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiveawayBandit",113,TRUE,FALSE,NA,NA
"20","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-21 16:24:44,FALSE,NA,"1098619539799961600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tmazermd",6,TRUE,FALSE,NA,NA
"21","@DrFrieden Hospitals administer #Flu &amp; Pneumococcal vaccinations routinely
Emergency departments administer Tetanus… https://t.co/vg57z7S4NF",FALSE,0,"DrFrieden",2019-02-21 16:15:07,TRUE,"1098222584271982592","1098617119191719941","820452522494226433","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dr_tef",0,FALSE,FALSE,NA,NA
"22","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 13:08:55,FALSE,NA,"1098570260058382339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreABE01",24,TRUE,FALSE,NA,NA
