"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Having the #flu and taking care of a 7yr old is #torture",FALSE,1,NA,2019-02-23 22:25:56,FALSE,NA,"1099435214391177216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaykaysins",0,FALSE,FALSE,NA,NA
"2","More Severe Strain of Flu Spreading Widely: CDC https://t.co/bmlOmudQHl #cdc #flu #flushot #fluvaccine #health… https://t.co/d5DpBURsOU",FALSE,0,NA,2019-02-23 20:52:00,TRUE,NA,"1099411577462239233",NA,"<a href=""https://nigeriacircle.com"" rel=""nofollow"">NigeriaCircle.com</a>","NigeriaCircle",0,FALSE,FALSE,NA,NA
"3","I've been dead in bed for the last 2 days!! #flu",FALSE,1,NA,2019-02-23 18:28:49,FALSE,NA,"1099375544410521600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaykaysins",0,FALSE,FALSE,NA,NA
"4","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-23 17:25:02,FALSE,NA,"1099359492700020736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XVG_Bridget",2,TRUE,FALSE,NA,NA
"5","Saw this coaster at the hotel as I get ready for #GC2019 By the way, I have the #flu so if you see me and I don’t s… https://t.co/kh7ZKlRITh",FALSE,4,NA,2019-02-23 15:54:28,TRUE,NA,"1099336698323001344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","toddrossnagel",0,FALSE,FALSE,NA,NA
"6","Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifyi… https://t.co/0NzVW4UV3S",FALSE,3,NA,2019-02-23 15:20:05,TRUE,NA,"1099328045251481601",NA,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","Renovation_Tea",2,FALSE,FALSE,NA,NA
"7","How can you protect yourself and your loved ones from the #flu? Get vaccinated, and encourage your loved ones to do… https://t.co/tgTrfCHW0t",FALSE,0,NA,2019-02-23 13:01:00,TRUE,NA,"1099293046393458689",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","PrimaCare",0,FALSE,FALSE,NA,NA
"8","That feeling when you’re sweating off your sickness... exhausting &amp; awesome all at the same time! #flu #yousuck #sweatingitoff",FALSE,0,NA,2019-02-23 06:05:46,FALSE,NA,"1099188547779772421",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdellValerie",0,FALSE,FALSE,NA,NA
"9","Ohio 4th-grader dies same day she’s diagnosed with flu, strep throat https://t.co/n2xiD4oEjV… https://t.co/BiO73ozDws",FALSE,0,NA,2019-02-23 02:58:08,TRUE,NA,"1099141330620633088",NA,"<a href=""https://nigeriacircle.com"" rel=""nofollow"">NigeriaCircle.com</a>","NigeriaCircle",0,FALSE,FALSE,NA,NA
"10","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-23 02:27:08,FALSE,NA,"1099133526715392000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Crypto_Dak",3,TRUE,FALSE,NA,NA
"11","#Flu Death or Death by the ""Cure""? 
https://t.co/2pIZALvwlJ",FALSE,0,NA,2019-02-23 02:04:53,FALSE,NA,"1099127927529189377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibertyBelle72",0,FALSE,FALSE,NA,NA
"12","Since #TeamSISD team members are power #Twitter users &amp; it's the middle of #flu season, here is some important, pra… https://t.co/bWfCeq7UJj",FALSE,5,NA,2019-02-22 23:13:49,TRUE,NA,"1099084877549449218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OLeza_CI",2,FALSE,FALSE,NA,NA
"13","Don't you just love having the flu.... Life is so great right now #flu #ill #sodone",FALSE,0,NA,2019-02-22 21:47:51,FALSE,NA,"1099063243337809920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oh_Its_Chloe_",0,FALSE,FALSE,NA,NA
"14","When it’s #flu season and you have #lupus Not today Satan!!! #thelibraloungewithkeisha #lupus #lupuschick… https://t.co/IKLI3XpLBy",FALSE,0,NA,2019-02-22 21:38:16,TRUE,NA,"1099060831898271745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Libralounge",0,FALSE,FALSE,NA,NA
"15","People from around the country and beyond are rallying behind young #Rowlett woman who is in the ICU at Baylor Scot… https://t.co/mAuzzulXt8",FALSE,1,NA,2019-02-22 21:10:04,TRUE,NA,"1099053733953105920",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","bswhealth_DFW",0,FALSE,FALSE,NA,NA
"16","RT @experoinc: In conjunction with our #DataScience team, @kinsa Health’s #MachineLearning #flu forecast enables clinics to never run short…",FALSE,0,NA,2019-02-22 20:26:55,FALSE,NA,"1099042876972064770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","experoinc",10,TRUE,FALSE,NA,NA
"17","RT @NBDPN: There is a lot of evidence that #flu vaccines can be given safely during pregnancy. @CDCgov recommends that #pregnant women get…",FALSE,0,NA,2019-02-22 18:30:47,FALSE,NA,"1099013650973683713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MotherToBabyNTX",3,TRUE,FALSE,NA,NA
"18","LIVE on-demand video chat with a medical professional and get a prescription if you need one. #Telemedicine… https://t.co/BCSmEA4SSa",FALSE,0,NA,2019-02-22 18:15:13,TRUE,NA,"1099009730524123137",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MDBoxapp",0,FALSE,FALSE,NA,NA
"19","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-22 17:56:29,FALSE,NA,"1099005018643091456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XVG_Bridget",3,TRUE,FALSE,NA,NA
"20","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-22 17:54:26,FALSE,NA,"1099004501149782016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PenceDr",7,TRUE,FALSE,NA,NA
"21","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-22 17:54:08,FALSE,NA,"1099004428047257600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PenceDr",3,TRUE,FALSE,NA,NA
"22","RT @HealthyOklahoma: Not feeling well? It's often helpful to just stay home and rest, but there are times you should seek medical attention…",FALSE,0,NA,2019-02-22 17:52:10,FALSE,NA,"1099003930468589573",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tombatesok",1,TRUE,FALSE,NA,NA
"23","A flu shot helps protect women and their babies during pregnancy and up to 6 months after they are born. Visit your… https://t.co/oZRF4AmB96",FALSE,0,NA,2019-02-22 17:35:40,TRUE,NA,"1098999777440817152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HoustonHealth",0,FALSE,FALSE,NA,NA
"24","Would you like to avoid the flu this season? https://t.co/89MG11fvrF #Cold #Flu #Prevention https://t.co/8SRyAc2YLf",FALSE,0,NA,2019-02-22 16:50:12,FALSE,NA,"1098988338730729477",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LeannForst",0,FALSE,FALSE,NA,NA
"25","Not feeling well? It's often helpful to just stay home and rest, but there are times you should seek medical attent… https://t.co/X3Ref8xbXR",FALSE,1,NA,2019-02-22 16:50:04,TRUE,NA,"1098988305247543296",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","HealthyOklahoma",1,FALSE,FALSE,NA,NA
"26","RT @NBDPN: There is a lot of evidence that #flu vaccines can be given safely during pregnancy. @CDCgov recommends that #pregnant women get…",FALSE,0,NA,2019-02-22 16:42:51,FALSE,NA,"1098986489558564865",NA,"<a href=""http://placeholer.com"" rel=""nofollow"">RFD monitor backup 2</a>","MomAndNewborn",3,TRUE,FALSE,NA,NA
"27","RT @NBDPN: There is a lot of evidence that #flu vaccines can be given safely during pregnancy. @CDCgov recommends that #pregnant women get…",FALSE,0,NA,2019-02-22 16:24:36,FALSE,NA,"1098981895021477889",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VDHLiveWell",3,TRUE,FALSE,NA,NA
"28","There is a lot of evidence that #flu vaccines can be given safely during pregnancy. @CDCgov recommends that… https://t.co/bL0U7IZhiz",FALSE,2,NA,2019-02-22 16:23:23,TRUE,NA,"1098981589206355968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NBDPN",3,FALSE,FALSE,NA,NA
"29","Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifyi… https://t.co/kh0WaWOShP",FALSE,3,NA,2019-02-22 15:20:32,TRUE,NA,"1098965772527955969",NA,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>","Renovation_Tea",3,FALSE,FALSE,NA,NA
"30","RT @HealthyOklahoma: NEWS RELEASE: The first pediatric death associated with the flu this season has been reported in Oklahoma County. Ther…",FALSE,0,NA,2019-02-22 03:16:00,FALSE,NA,"1098783438058987521",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","McIntyreJCMc",7,TRUE,FALSE,NA,NA
"31","When the hubsters calls you “Bane” by accident.....#upgrade #errandboy #nomatter #flu #poorhusbando #iambane… https://t.co/mW6dDN3FGy",FALSE,1,NA,2019-02-22 00:35:11,TRUE,NA,"1098742966519119872",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","WinklerSpace",0,FALSE,FALSE,NA,NA
"32","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-22 00:05:45,FALSE,NA,"1098735559952994304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DinahQChon",7,TRUE,FALSE,NA,NA
"33","#Flu Season is still here, folks! Take preventative steps to stay healthy. #FightFlu @BCBSLA  https://t.co/eMxRfuu5LI",FALSE,0,NA,2019-02-21 22:00:01,FALSE,NA,"1098703917666451458",NA,"<a href=""https://getbambu.com"" rel=""nofollow"">Bambu by Sprout Social</a>","cindymsm",0,FALSE,FALSE,NA,NA
"34","We received our #flu shot and haven't been sick with the flu this year. Who else? #thursdaythoughts #vaccines https://t.co/Uw7rJrHTAM",FALSE,0,NA,2019-02-21 21:00:21,FALSE,NA,"1098688899948392448",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MarzetInc",0,FALSE,FALSE,NA,NA
"35","Well, William and I have the flu #flu #illness #sicknesssucks",FALSE,0,NA,2019-02-21 19:09:51,FALSE,NA,"1098661095391268865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ericalocke16",0,FALSE,FALSE,NA,NA
"36","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-21 18:49:22,FALSE,NA,"1098655939782197248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeriousIda",7,TRUE,FALSE,NA,NA
"37","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-21 18:48:31,FALSE,NA,"1098655724912197632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DamonGrovesReal",7,TRUE,FALSE,NA,NA
"38","RT @Renovation_Tea: Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #…",FALSE,0,NA,2019-02-21 18:42:55,FALSE,NA,"1098654314661335042",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Crypto_Dak",7,TRUE,FALSE,NA,NA
"39","@ITSTIME Advice for a cold and the flu are the same. Rest, drink plenty of fluids, don't go to work if you have a f… https://t.co/KDCeV5Hbad",FALSE,5,"ITSTIME",2019-02-21 18:30:25,TRUE,"1098650608289136641","1098651169965174784","402236132","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","drpdhain",0,FALSE,FALSE,NA,NA
