"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","#saturday #beach #club #fever 🥂 @ Vivero Beach Club https://t.co/v99Mn7P0tS",FALSE,0,NA,2019-02-23 14:53:31,FALSE,NA,"1099321359677587456",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Arctickfox",0,FALSE,FALSE,"1.8165511","41.2360569"
"61","Experiencing NOROVIRUS Stomach Flu.
Lord heal me please. #diarrhea #vomiting #nausea #fever #bodyaches @ Morong, Ri… https://t.co/KFS5CziKFh",FALSE,2,NA,2019-02-23 05:52:42,TRUE,NA,"1099185260514824192",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","discoverbomby",0,FALSE,FALSE,"121.23899","14.51423"
"308","Hace Mucho Tiempo Que Empezo.... #Fever with my #CubanPrincess nayibaila,  cambreedoll &amp; @djmissdakota... love my L… https://t.co/qTJZalGgjM",FALSE,0,NA,2019-02-21 11:47:56,TRUE,NA,"1098549881134895104",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LeoMoctezuma",0,FALSE,FALSE,"-80.143","26.04339"
"358","Colette Style Illustration MPF®
F/W 2020-21

#MPFisMe #MadeinItaly #fashionIllustration #FashionDesigner #clothing… https://t.co/EUo8l3uYd9",FALSE,1,NA,2019-02-20 18:45:01,TRUE,NA,"1098292455428939776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MikePiedimonte",0,FALSE,FALSE,"12.5","41.9"
"403","#backstage  #fever with @ninoukakkerman dior mclipstick @nataliewjelle 🖤 #christoskallaniotishair… https://t.co/aOgWx3suZ6",FALSE,0,NA,2019-02-20 11:46:14,TRUE,NA,"1098187065244536833",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ckallaniotis",0,FALSE,FALSE,"-0.220316","51.52317044"
"475","Keyko Style Illustration MPF®
F/W 2020-21

#MPFisMe #MadeinItaly #fashionIllustration #FashionDesigner #clothing… https://t.co/2iKI9xTAji",FALSE,1,NA,2019-02-19 20:55:32,TRUE,NA,"1097962913086681089",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MikePiedimonte",0,FALSE,FALSE,"12.5","41.9"
"572","INDIE ASIA presents
GLADES TO LOVE YOU TOUR
東京公演サポートアクト‼️

#kolme #glades #FEVER #music #dance #tokyo #Spotify… https://t.co/ij8EjiBZx1",FALSE,54,NA,2019-02-19 11:01:49,TRUE,NA,"1097813498287992832",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","callme_official",10,FALSE,FALSE,"139.66020568","35.6627388"
"621","Nursing a cold, some fever.. but at least the moon provides a nice show..(while kids are cooking)...#cold #fever… https://t.co/5nSWeUOJwu",FALSE,0,NA,2019-02-18 23:08:42,TRUE,NA,"1097634039173791744",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","wilderoosje",0,FALSE,FALSE,"-69.94027778","12.48722222"
"627","Mia Style Illustration MPF®
F/W 2020-21

#MPFisMe #MadeinItaly #fashionIllustration #FashionDesigner #clothing… https://t.co/PenTykSWlH",FALSE,1,NA,2019-02-18 20:55:10,TRUE,NA,"1097600434686980096",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MikePiedimonte",0,FALSE,FALSE,"12.5","41.9"
"660","michaelbuble singing for a sold out crow @gwinnettcenter last night, 2.17.29 for @ajc 
.
.
.
.
#michaelbuble #bubly… https://t.co/dBvfUnT3rL",FALSE,0,NA,2019-02-18 14:24:08,TRUE,NA,"1097502028249493504",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","FleisherPhotog",0,FALSE,FALSE,"-84.09350741","33.99185041"
"667","I need sleep.
Grateful for my wonderful bed.
Grateful for my home.
Grateful for my life.

Iam sorry.
Please forgive… https://t.co/Ci3cREdRgU",FALSE,0,NA,2019-02-18 13:05:24,TRUE,NA,"1097482213761998848",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","antonellaDRB",0,FALSE,FALSE,"-79.6339","43.5192"
