"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5","Found the energy to get my #flu ravaged self outside to enjoy the #gloaming. #getoutside #hudsonvalleyoutside… https://t.co/baGsyBPcn1",FALSE,0,NA,2019-02-23 22:54:05,TRUE,NA,"1099442297605947393",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PeakMag1",0,FALSE,FALSE,"-74.08222222","41.84388889"
"126","Fotos fofas beijando mozão
N pera

#Fluzao #Flu #Fluminense #FluxBan #Gansou #Maracana #Maraca #Tricolor em Maracan… https://t.co/3Nm4zx3HMN",FALSE,0,NA,2019-02-23 17:02:39,TRUE,NA,"1099353857854001152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DiegooVeras",0,FALSE,FALSE,"-43.2305269","-22.91284792"
"143","rallying the internal troops (#flu) to fly home to Chi tonight. _e.lee_ and I have been planning this event remotel… https://t.co/x9zyrHzjGL",FALSE,0,NA,2019-02-23 16:36:05,TRUE,NA,"1099347172305207301",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","in_jenna_ral",0,FALSE,FALSE,"-87.6469116","41.8558617"
"335","Some mornings can only begin after breakfast, yesterday was one of those... #friday #breakfast #foodismedicine… https://t.co/BfmomAwHWX",FALSE,0,NA,2019-02-23 08:58:12,TRUE,NA,"1099231942183010304",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","alistairpike",0,FALSE,FALSE,"-0.11569201","51.5072516"
"391","Hoje foi dia de ir torcer pro Flusão...🇧🇬❤💚
#fluminense #flusao #tricolor #carioca #boanoite #goodnight #ganso… https://t.co/pNk86XXD07",FALSE,0,NA,2019-02-23 04:37:14,TRUE,NA,"1099166267884240896",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","deejay_dinho",0,FALSE,FALSE,"-43.23018947","-22.91241764"
"397","Hoje foi dia de ir torcer pro Flusão...🇧🇬❤💚
#fluminense #flusao #tricolor #carioca #boanoite #goodnight #ganso… https://t.co/9AuBElSc9w",FALSE,0,NA,2019-02-23 04:14:57,TRUE,NA,"1099160660255166464",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","deejay_dinho",0,FALSE,FALSE,"-43.23018947","-22.91241764"
"1086","I’m gonna need to know who gave me the flu AGAIN. I thought we were done with this mess. #flu #twice #flu2019… https://t.co/ZOCGXfWcL1",FALSE,0,NA,2019-02-22 12:19:20,TRUE,NA,"1098920171618500608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Melbgodsey",0,FALSE,FALSE,"-87.72864","34.50787"
"1178","病倒了…………………
Illness badly ……………

#illness , #illnesses , #flu , #fluillness , #sleep , #sleepy , #sleeping , #感冒 ,… https://t.co/8qTSKTobTO",FALSE,1,NA,2019-02-22 09:10:19,TRUE,NA,"1098872604562051072",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cathyleetong",0,FALSE,FALSE,"121.552595","25.029359"
"1401","#thyme for #respiratoryissues #virus #flu 🤓
🌿
🌿
Thyme is an herb which originates from the Mediterranean basin and… https://t.co/PmNC4OiHcq",FALSE,0,NA,2019-02-22 01:35:48,TRUE,NA,"1098758219277594624",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Jahypimentel",0,FALSE,FALSE,"98.77262484","7.73933368"
"1487","I’m sick!... First cold in maybe 4 years!! This is my constant companion... Daisy! #izyphoto #daisymay #westie… https://t.co/JniJ4zBAtA",FALSE,0,NA,2019-02-21 23:41:09,TRUE,NA,"1098729366882664449",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Izyphoto",0,FALSE,FALSE,"-89.2794724","48.44804"
"2056","Someone got the flu lol I told her to drink apple cider vinegar 😭😭😭 its been over 3 years since the last time I was… https://t.co/Jf0ylZR2AI",FALSE,0,NA,2019-02-21 16:58:53,TRUE,NA,"1098628136818958336",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AndrewLehigh",0,FALSE,FALSE,"-76.85825576","40.26219824"
"2232","We have been living in the #House of #Sick for the last week. Between the #flu and whatever other #germs are runnin… https://t.co/qbgB4kqpCj",FALSE,0,NA,2019-02-21 14:58:54,TRUE,NA,"1098597938559889408",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Sugar019",0,FALSE,FALSE,"-124.06047","44.63972"
"2865","Working with the flu...... así si me curo @unatalaurora    graciaaaas #flu #working #sick #femito en Televisa Salti… https://t.co/CoVs4daowX",FALSE,1,NA,2019-02-20 17:54:01,TRUE,NA,"1098279621412483072",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Reportero_MR",0,FALSE,FALSE,"-100.95053582","25.46679894"
"3212","@starbucks secret menu drink to make me feel better. Can y’all do anything for a busted tooth?

#medicineballdrink… https://t.co/qfDqJIat7U",FALSE,0,"Starbucks",2019-02-20 02:46:12,TRUE,NA,"1098051163889446912","30973","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bauerboy10",0,FALSE,FALSE,"-86.9285","35.7527"
"3585","Ty helps combat the spread of the flu by following the rules.  Be like Ty
@balladhealth #flu #influenzavaccine… https://t.co/crkldzEZAa",FALSE,1,NA,2019-02-19 16:46:53,TRUE,NA,"1097900340723310593",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bo_Ty_Dawgs",0,FALSE,FALSE,"-81.48845459","36.85191505"
"3706","☑️💭”Flu”en az senin kadar❕❔💭☑️
#sarelina #nofilter #flu #instagram #instagood #instapic #nature #natural #tb @ BigC… https://t.co/jhBzCsiFTd",FALSE,0,NA,2019-02-19 14:18:34,TRUE,NA,"1097863012793217024",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kkevserk",0,FALSE,FALSE,"29.05811","41.13698"
"4895","Glorious first day on the slopes. From freezing to way too hot 🥵 the #snow is #melting! Relieved both the #knee &amp; s… https://t.co/evUu6N5ANi",FALSE,0,NA,2019-02-17 15:45:08,TRUE,NA,"1097160021798924293",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tarka07",0,FALSE,FALSE,"6.90246505","44.9661095"
